team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
Bills,BUF,2,RE,551028996,Dominique Robinson,5,0,1921,95,2,6.00,0,0,0,0,0,0,2.00,0,0,2.00
Bills,BUF,2,FS,551029357,Juanyeh Thomas,5,0,1977,22,8,23.00,0,2,0,0,4,29,1.50,0,0,8.00
Bills,BUF,2,CB,551027613,Sauce Gardner,5,0,1712,31,8,27.00,3,3,0,0,2,75,0.00,0,1,15.00
Bills,BUF,2,LE,551029517,Travon Walker,5,0,2008,99,13,46.00,0,0,0,2,1,66,9.50,0,1,18.00
Bills,BUF,2,RE,551028779,Micah Parsons,6,0,1058,11,12,54.00,0,4,2,0,1,37,13.00,0,0,19.00
Bills,BUF,2,ROLB,551028961,Monty Rice,6,0,932,59,2,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Bills,BUF,2,SS,551028569,Smoke Monday,6,0,1855,30,11,34.00,1,8,2,0,1,6,0.00,0,0,25.00
Broncos,DEN,3,FS,551028688,Johnny Jackson,0,0,10329,22,12,78.00,12,5,1,0,10,442,2.00,0,1,35.00
Broncos,DEN,3,LE,551029442,Trent Jordan,0,0,3365,98,9,30.00,0,0,0,1,2,31,3.50,0,0,17.00
Broncos,DEN,3,LE,551029474,Bryce Terrell,1,0,3768,95,13,49.00,0,2,0,0,0,0,9.00,0,0,31.00
Broncos,DEN,3,FS,551028637,Darin Johnson,1,0,10330,27,13,42.00,11,4,0,0,1,5,0.00,0,0,39.00
Broncos,DEN,3,ROLB,551027376,DeSean Wilber,1,0,3402,45,11,34.00,5,1,0,2,1,39,4.00,0,1,17.00
Broncos,DEN,3,CB,551029289,Dexter Valentine,1,0,3769,25,9,37.00,8,3,0,0,5,359,0.00,0,1,16.00
Broncos,DEN,3,DT,551027421,Mike Tatum,1,0,4077,96,7,23.00,0,1,3,1,0,0,3.00,0,0,8.00
Broncos,DEN,3,MLB,551027705,Morgan Carruthers,1,0,4082,46,10,23.00,2,2,0,1,0,0,2.00,0,1,13.00
Broncos,DEN,3,MLB,551027445,Doug Sabin,2,0,3666,51,8,18.00,0,2,1,0,0,0,1.00,0,0,13.00
Broncos,DEN,3,LE,551028672,Reed Searles,2,0,3673,42,4,9.00,0,0,1,0,0,0,1.00,0,0,4.00
Broncos,DEN,3,SS,551028727,Kitan Oladapo,3,0,10201,26,8,32.00,0,4,2,0,1,52,2.00,0,0,19.00
Broncos,DEN,3,CB,551028490,Kool-Aid McKinstry,3,0,10173,34,11,44.00,12,5,0,1,3,57,0.00,0,1,29.00
Broncos,DEN,3,CB,551026889,Jakorian Bennett,4,0,1421,23,7,23.00,7,3,0,0,1,9,0.00,0,0,20.00
Broncos,DEN,3,CB,551028200,Kyu Blu Kelly,4,0,2276,36,6,9.00,1,1,1,0,0,0,0.00,0,0,6.00
Broncos,DEN,3,LOLB,551027168,Damone Clark,5,0,1272,18,11,36.00,7,8,0,0,0,0,0.00,0,0,36.00
Broncos,DEN,3,CB,551027613,Sauce Gardner,5,0,1712,31,5,20.00,9,4,0,0,1,14,0.00,0,0,17.00
Broncos,DEN,3,SS,551027914,Amani Hooker,8,0,9508,37,3,11.00,0,0,0,1,2,11,0.00,0,0,5.00
Broncos,DEN,3,LE,551027065,Brian Burns,8,0,9406,93,3,4.00,0,0,0,0,0,0,0.50,0,0,3.00
Broncos,DEN,3,ROLB,551029304,Sione Takitaki,8,3,9647,59,5,5.00,0,0,0,0,0,0,0.00,0,0,5.00
Broncos,DEN,3,DT,551026741,Zach Allen,8,0,9366,90,3,6.00,0,0,0,0,0,0,1.50,0,0,3.00
Broncos,DEN,3,MLB,551026892,Ja'Whaun Bentley,9,0,9706,8,3,10.00,3,3,1,1,0,0,0.00,0,0,7.00
Broncos,DEN,3,FS,551029641,Marcus Williams,10,0,8779,32,13,36.00,1,7,1,0,2,26,0.00,0,0,27.00
Browns,CLE,4,LOLB,551027794,Riley Bullard,0,0,10317,2,9,24.00,0,2,1,0,1,4,0.00,0,0,18.00
Browns,CLE,4,DT,551028570,Caleb Priester,1,0,10352,61,7,9.00,0,0,0,1,0,0,2.00,0,0,5.00
Browns,CLE,4,MLB,551028937,Gary Sewell,1,0,3404,45,6,10.00,0,3,0,0,0,0,0.00,0,0,10.00
Browns,CLE,4,LE,551027253,Javon Shepherd,1,0,4076,93,2,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Browns,CLE,4,RE,551029308,Jonathan Bayer,1,4,10333,92,4,6.00,0,1,0,0,0,0,2.00,0,0,2.00
Browns,CLE,4,CB,551026872,Will Cheeks,1,0,3764,32,4,7.00,0,2,1,0,0,0,0.00,0,0,4.00
Browns,CLE,4,FS,551027089,Isaiah Harmon,2,0,10341,11,12,31.00,0,7,0,0,3,42,0.00,0,0,22.00
Browns,CLE,4,LE,551026940,Austin Booker,3,0,10016,95,3,7.00,0,1,0,0,0,0,2.00,0,0,3.00
Browns,CLE,4,ROLB,551029629,James Williams,3,0,10299,52,10,17.00,0,4,0,0,2,3,0.00,0,0,11.00
Browns,CLE,4,DT,551028041,Jordan Jefferson,3,0,10123,71,5,13.00,0,0,0,0,0,0,2.00,0,0,9.00
