team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Rams,LAR,23,WR,551029850,Lindsey Hurts,1,0,3809,86,1,27.00,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Rams,LAR,23,QB,551026795,Brendan Taylor,2,0,4082,6,1,15.40,3,0,1,10,0,0,4,15,4.00,5.00,7.50
Rams,LAR,23,HB,551026918,Bruce Bright,2,0,3937,13,13,95.40,111,23,4,74,7,2,82,431,6.31,3.88,29.99
Rams,LAR,23,FB,551029648,Chet Chamberlain,2,0,3370,39,1,0.20,1,0,0,2,0,0,2,2,2.00,2.00,0.29
Rams,LAR,23,WR,551029814,Cortney Brownlee,2,0,10349,10,4,-2.00,0,4,1,0,0,0,0,0,0.00,0.00,0.00
Rams,LAR,23,WR,551027592,Jermaine Rush,2,0,3766,87,5,41.50,0,6,2,0,0,0,0,0,0.00,0.00,0.00
Rams,LAR,23,HB,551028792,Nathan McDaniels,2,0,3491,23,3,-0.10,5,1,0,2,0,0,5,-1,1.67,-0.20,-0.22
Rams,LAR,23,QB,551029616,Caleb Williams,3,0,10296,15,8,35.00,36,6,4,27,4,1,11,190,1.38,5.28,18.70
Rams,LAR,23,HB,551029482,Deuce Vaughn,4,7,2443,25,5,13.90,29,4,0,9,2,0,13,89,2.60,3.07,29.68
Rams,LAR,23,QB,551027731,Jake Haener,4,0,2575,16,1,0.80,2,1,0,5,0,0,1,8,1.00,4.00,2.00
Rams,LAR,23,WR,551028550,Jonathan Mingo,4,22,2314,9,1,8.30,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Rams,LAR,23,QB,551028838,Kenny Pickett,5,0,1889,2,2,12.88,8,0,1,9,0,0,0,36,0.00,4.50,18.00
Rams,LAR,23,WR,551029109,Rashid Shaheed,5,0,4928,22,5,16.40,1,3,1,7,0,0,0,7,0.00,7.00,0.96
Ravens,BAL,24,HB,551029481,Christian Brown,0,0,3491,33,11,40.20,82,12,0,11,3,0,77,209,7.00,2.55,19.09
Ravens,BAL,24,WR,551029891,James Chavez,0,0,3963,88,6,19.40,6,4,0,6,0,0,1,3,0.17,0.50,0.12
Ravens,BAL,24,TE,551028803,Austin Donahue,1,0,3384,89,2,6.00,0,1,0,0,1,0,0,0,0.00,0.00,0.00
Ravens,BAL,24,TE,551028473,Tim Warren,1,0,3404,82,7,100.30,0,11,1,0,0,0,0,0,0.00,0.00,0.00
Ravens,BAL,24,WR,551027520,Nygel Haynes,2,0,3946,5,7,-4.00,0,11,2,0,0,0,0,0,0.00,0.00,0.00
Ravens,BAL,24,HB,551028496,Jaleel McLaughlin,4,0,0,30,3,14.00,12,2,1,6,1,0,5,11,1.67,0.92,2.03
Ravens,BAL,24,WR,551028839,Alec Pierce,5,0,4060,10,5,28.40,1,7,0,3,0,0,3,3,0.60,3.00,0.10
Ravens,BAL,24,WR,551026798,Calvin Austin,5,0,1150,80,3,0.00,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Ravens,BAL,24,TE,551028857,Kyle Pitts,6,0,3807,0,8,17.30,4,9,0,6,0,0,0,11,0.00,2.75,0.90
Ravens,BAL,24,HB,551027791,Najee Harris,6,0,10355,22,6,17.60,18,6,0,22,1,1,27,92,4.50,5.11,6.41
Ravens,BAL,24,WR,551028057,Jerry Jeudy,7,0,3696,7,3,18.20,1,5,1,10,0,0,1,10,0.33,10.00,1.33
Ravens,BAL,24,WR,551028854,Michael Pittman Jr,7,0,532,11,1,5.60,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Ravens,BAL,24,QB,551028015,Lamar Jackson,9,0,3851,8,11,99.76,52,6,0,26,9,1,18,237,1.64,4.56,16.50
Saints,NO,26,HB,551029751,Bryce Tharpe,0,0,3763,16,12,56.40,80,19,0,27,1,1,45,334,3.75,4.18,18.97
Saints,NO,26,WR,551029857,Darnell Meadows,0,0,3761,1,2,11.40,0,4,1,0,0,0,0,0,0.00,0.00,0.00
Saints,NO,26,WR,551026731,Deon Langham,1,0,3410,82,3,28.10,0,4,1,0,0,0,0,0,0.00,0.00,0.00
Saints,NO,26,WR,551029283,Jermaine Payne,1,0,3403,88,4,19.60,0,5,0,0,0,0,0,0,0.00,0.00,0.00
Saints,NO,26,HB,551029778,Danny Brothers,2,6,3522,36,9,27.80,62,11,1,20,2,1,77,236,8.56,3.81,29.20
Saints,NO,26,TE,551029335,Gary Chambers,2,0,3360,81,5,41.40,0,8,1,0,0,0,0,0,0.00,0.00,0.00
Saints,NO,26,HB,551027987,Bucky Irving,3,0,10113,7,2,8.00,2,1,0,5,1,0,0,7,0.00,3.50,2.33
Saints,NO,26,HB,551028997,James Robinson,7,0,553,32,2,2.40,11,0,0,6,0,0,0,21,0.00,1.91,1.23
Saints,NO,26,TE,551028732,Josh Oliver,8,0,9590,84,1,2.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Saints,NO,26,FB,551026919,Khari Blasingame,8,0,100,34,1,0.60,1,0,0,6,0,0,0,6,0.00,6.00,0.50
Saints,NO,26,QB,551028636,Kyler Murray,8,0,9583,3,13,88.32,67,5,1,45,7,5,52,474,4.00,7.07,39.21
Saints,NO,26,WR,551027768,Mecole Hardman Jr,8,0,9489,85,4,0.00,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Saints,NO,26,WR,551026696,Davante Adams,13,0,6328,83,5,52.90,1,6,0,2,0,0,0,2,0.00,2.00,0.10
Seahawks,SEA,27,WR,551029844,Spencer Lambert,1,0,3977,13,2,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Seahawks,SEA,27,WR,551029828,Tyrone Gates,2,0,3522,87,3,6.10,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Seahawks,SEA,27,WR,551028552,Adonai Mitchell,3,6,10183,86,1,6.70,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Seahawks,SEA,27,TE,551028720,Chigoziem Okonkwo,5,0,1869,85,6,31.30,0,10,0,0,0,0,0,0,0.00,0.00,0.00
Seahawks,SEA,27,FB,551027863,Connor Heyward,5,0,1764,34,2,0.00,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Seahawks,SEA,27,HB,551028840,Dameon Pierce,5,0,1891,28,13,72.70,100,26,0,28,1,1,111,403,8.54,4.03,36.01
Seahawks,SEA,27,QB,551029656,Malik Willis,5,0,2039,7,13,142.20,77,14,5,30,9,9,46,588,3.54,7.64,44.44
Seahawks,SEA,27,QB,551027938,Sam Howell,5,0,1770,5,6,-1.00,10,0,0,0,0,0,0,-10,0.00,-1.00,-1.04
Seahawks,SEA,27,WR,551027061,Treylon Burks,5,0,1226,16,2,0.00,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Seahawks,SEA,27,WR,551029406,Kadarius Toney,6,0,0,0,2,28.80,0,4,2,0,0,0,0,0,0.00,0.00,0.00
Seahawks,SEA,27,WR,551027008,A.J. Brown,8,0,9397,17,4,35.60,0,5,1,0,0,0,0,0,0.00,0.00,0.00
Seahawks,SEA,27,WR,551029058,Deebo Samuel Sr,8,0,9618,1,10,78.50,3,15,1,7,0,0,0,15,0.00,5.00,1.95
Seahawks,SEA,27,TE,551029168,Irv Smith Jr,8,0,9633,81,3,15.30,0,2,1,0,0,0,0,0,0.00,0.00,0.00
Seahawks,SEA,27,HB,551026834,Saquon Barkley,9,15,8813,27,9,16.00,18,8,0,11,0,0,19,71,2.11,3.94,9.16
Seahawks,SEA,27,WR,551029059,Curtis Samuel,10,0,8716,12,1,3.30,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Steelers,PIT,28,WR,551029865,Ryland Logan,0,6,3380,88,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Steelers,PIT,28,QB,551028070,Bobby Allan,1,0,3667,7,12,88.06,48,3,1,39,4,3,47,331,3.92,6.90,23.00
Steelers,PIT,28,HB,551029286,Dorian Edwards,1,0,3942,12,2,0.50,1,1,0,5,0,0,0,5,0.00,5.00,0.28
Steelers,PIT,28,HB,551027889,Sean Moreland,1,0,3704,27,9,21.70,52,15,0,69,3,1,50,224,5.56,4.31,29.26
Steelers,PIT,28,WR,551028546,Marvin Mims Jr,4,0,2312,18,2,41.30,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Steelers,PIT,28,WR,551029237,Amon-Ra St. Brown,6,0,1313,14,7,140.20,1,11,2,3,0,0,0,3,0.00,3.00,0.04
Steelers,PIT,28,WR,551028591,Rondale Moore,6,0,1264,81,6,25.10,0,10,0,0,0,0,0,0,0.00,0.00,0.00
Steelers,PIT,28,TE,551028232,Cole Kmet,7,0,711,87,3,13.40,0,5,0,0,0,0,0,0,0.00,0.00,0.00
Steelers,PIT,28,HB,551029321,Jonathan Taylor,7,0,604,26,13,116.80,167,45,0,59,9,7,297,977,22.85,5.85,67.61
Steelers,PIT,28,WR,551029292,Courtland Sutton,9,0,9072,84,2,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Steelers,PIT,28,FB,551028177,Kyle Juszczyk,14,0,6869,44,3,1.80,2,2,0,4,0,0,2,6,0.67,3.00,0.38
Texans,HOU,31,HB,551028861,Jahlil Shields,0,0,3347,33,13,69.80,169,25,0,65,3,2,107,701,8.23,4.15,53.97
Texans,HOU,31,WR,551029889,Justin Holmes,0,0,10353,18,5,5.10,2,3,0,5,0,0,0,7,0.00,3.50,0.42
Texans,HOU,31,WR,551029852,Terry Vincent,1,0,3937,88,2,0.00,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Texans,HOU,31,TE,551027257,Zack Daniels,1,0,3666,12,5,15.10,0,10,1,0,0,0,0,0,0.00,0.00,0.00
Texans,HOU,31,QB,551029686,Jason Devlin,2,0,3360,5,5,2.70,14,0,1,10,0,0,0,47,0.00,3.36,5.63
Texans,HOU,31,QB,551027099,Peter Greco,2,0,3404,8,8,55.20,14,2,2,16,0,0,2,88,0.25,6.29,13.13
Texans,HOU,31,WR,551028649,Puka Nacua,4,0,4785,1,9,156.80,5,5,1,8,1,0,0,11,0.00,2.20,1.94
Texans,HOU,31,HB,551029639,Kyren Williams,5,5,2036,23,3,3.60,5,2,0,8,0,0,2,19,0.67,3.80,3.09
Texans,HOU,31,WR,551029501,Jaylen Waddle,6,0,1374,17,6,92.30,6,6,1,19,0,0,8,45,1.33,7.50,1.33
Texans,HOU,31,HB,551026718,Cam Akers,7,0,72,37,1,6.00,1,0,0,0,1,0,0,0,0.00,0.00,0.00
Texans,HOU,31,HB,551029299,D'Andre Swift,7,0,599,4,8,40.10,23,2,1,38,6,1,4,108,0.50,4.70,6.50
Texans,HOU,31,TE,551029084,Dalton Schultz,9,0,9050,85,2,7.90,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Titans,TEN,29,HB,551027651,Dom Murrell,0,0,3858,24,9,34.80,58,17,0,11,1,0,46,186,5.11,3.21,19.68
